MainBusiness,SafeValue,ShineValue,ShapeValue,TPFlag,ZTPrice,DTPrice,HqDate,fHSL,fLianB,Wtb,Zsz,Ltsz,vzangsu,Fzhsl,FzAmo,VOpenZAF,ZAF,ZAFYesterday,ZAFPre2D,ZAFPre5,ZAFPre10,ZAFPre20,ZAFPre30,ZAFPre60,ZAFYear,ZAFPreMyMonth,ZAFPreOneYear,Zjl,Zjl_HB,TotalBVol,TotalSVol,BCancel,SCancel,L2TicNum,L2OrderNum,FCAmo,FCb,OpenZAF,OpenAmo,OpenZTBuy,OpenAmoPre1,OpenVolPre1,CJJEPre1,CJJEPre3,FDEPre1,FDEPre2,ZTGPNum,LastStartZT,LastZTHzNum,EverZTCount,ConZAFDateNum,YearZTDay,MA5Value,HisHigh,HisLow,IPO_Price,More_YJL,BetaValue,DynaPE,MorePE,StaticPE_TTM,DYRatio,PB_MRQ,IsT0Fund,IsZCZGP,IsKzz,Kzz_HSCode,QHMainYYMM,FreeLtgb,Yield,KfEarnMoney,RDInputFee,CashZJ,PreReceiveZJ,OtherQYJzc,StaffNum,RecentGGJYDate,RecentHGDate,RecentIncentDate,NoticeDate_Recent,RecentReleaseDate,RecentDZDate,ReportDate,ZTDate_Recent,DTDate_Recent,TopDate_Recent,StopJYDate_Recent,code,类型,查询时间
零售金融业务,95,10,50210,0,12.17,9.95,20260616,0.49,0.64,49.53,2123.01,2122.97,2.53,0.06,4023.51,0.09,-1.08,-1.60,2.74,1.58,2.05,4.19,-1.71,3.21,-1.00,3.50,-0.36,-16437.93,-8162.76,102831.00,225063.00,398287.00,581875.00,72788,137090,0.00,0.00,-0.09,3006700.25,0.00,499.63,4457.00,171156.13,500915.81,0.00,0.00,0,1,0,0,-2,0,11.03,12.73,10.07,40.00,0.00,0.07,3.65,5.03,4.98,5.39,0.46,0,0,0,0,0,816048.13,300.67,1448800.05,0.00,38799599.21,0.00,8000000.00,41698,0,0,0,0,20180521,20150521,20260425,20240221,20150119,20240221,0,000001.SZ,股票,2026-06-16 20:26:34
"抵销,开发经营业务",64,4,131309,0,3.44,2.82,20260616,1.17,0.90,29.11,298.53,298.31,1.37,0.05,366.23,0.00,-1.92,-0.95,1.28,-1.60,-9.44,-17.25,-21.48,-33.70,-33.98,-13.52,-52.33,-5178.98,-3643.42,225498.00,328167.00,863399.00,948120.00,37959,81692,0.00,0.00,-0.32,2494800.00,0.00,195.78,6176.00,40108.65,119587.15,0.00,0.00,0,1,0,0,-2,1,3.13,7.22,3.06,1.00,0.00,0.59,-1.54,-0.42,-0.42,0.00,0.33,0,0,0,0,0,647412.48,249.48,-533417.37,6626.26,6049262.39,8991604.74,0.00,131429,0,0,0,0,20091229,20061227,20260430,20251210,20241009,20251210,0,000002.SZ,股票,2026-06-16 20:26:34
移动应用安全业务,1,0,130913,1,2.90,2.62,20260616,0.00,0.00,0.00,3.65,3.49,0.00,0.00,0.00,0.00,0.00,-5.15,-4.90,0.00,0.00,0.00,0.00,-50.36,-75.09,0.00,-70.35,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,143.58,5202.00,693.92,1083.05,-1848.48,-2230.72,0,0,0,0,-6,29,2.94,13.98,2.76,1.00,0.00,0.11,-14.30,-2.78,-2.98,0.00,4.21,0,0,0,0,0,9339.49,0.00,-793.63,1009.47,9703.75,1539.70,0.00,320,0,0,0,0,20230815,20200120,20260428,20260416,20260427,20260427,20260428,000004.SZ,股票,2026-06-16 20:26:34
房产销售,72,3,10708,0,8.67,7.09,20260616,2.48,1.37,41.88,107.05,107.05,1.07,0.09,215.93,0.00,0.63,0.38,0.00,-0.38,-10.40,-28.81,-18.24,-14.18,-20.30,-12.86,15.43,1606.08,-2508.64,13114.00,47078.00,206062.00,158947.00,20453,42152,0.00,0.00,-0.38,511800.00,0.00,50.95,649.00,16270.29,61372.40,0.00,0.00,0,1,0,0,2,8,7.90,15.50,6.09,10.00,0.00,0.95,355.55,-251.74,-1209.68,0.00,1.99,0,0,0,0,0,85059.67,51.18,693.12,0.00,261455.31,233816.09,0.00,417,0,0,0,0,20130517,0,20260430,20260518,20251015,20251021,0,000006.SZ,股票,2026-06-16 20:26:34
"物业租赁及其他服务,汽车销售及相关服务",60,1,51010,0,15.50,12.68,20260616,2.00,0.51,-20.80,49.68,49.68,2.15,0.13,194.31,0.35,1.77,0.07,1.08,9.21,18.52,16.21,-7.55,-3.88,25.35,26.57,80.61,41.77,15.29,3085.00,11244.00,32461.00,36055.00,9101,20664,0.00,0.00,0.92,126600.00,0.00,20.28,144.00,13349.91,38450.18,0.00,0.00,0,1,0,0,6,3,14.06,17.79,6.75,1.00,0.00,0.79,-572.20,2532.89,-2421.55,0.00,27.74,0,0,0,0,0,23007.47,12.66,-232.87,0.00,8955.33,248.94,0.00,172,0,0,0,0,20241121,20110520,20260429,20260430,20260512,20260513,0,000007.SZ,股票,2026-06-16 20:26:34
轨道交通运营检修装备,80,1,70904,0,2.82,2.30,20260616,0.83,0.77,-20.74,69.00,68.99,2.17,0.06,153.97,0.00,-0.78,4.49,2.08,0.00,-1.56,-5.93,-5.57,-11.19,-10.88,-1.17,-7.97,-1481.89,412.91,52112.00,190397.00,147646.00,168248.00,5431,14771,0.00,0.00,0.78,2709800.00,0.00,63.59,2606.00,10498.36,22723.79,0.00,0.00,0,1,0,0,-1,4,2.49,3.60,2.39,10.00,0.00,0.63,-56.74,-8.33,-8.45,0.00,3.20,0,0,0,0,0,165387.84,270.98,-3574.30,3539.96,54938.29,96542.97,0.00,1750,0,0,0,0,20190321,20160321,20260430,20260331,20260403,20260403,0,000008.SZ,股票,2026-06-16 20:26:34
高新技术产业分部,62,4,70904,0,7.67,6.27,20260616,1.50,1.52,-15.75,182.61,182.38,0.96,0.05,245.75,0.00,1.58,-1.27,3.07,0.71,-3.54,-9.81,-18.15,-21.86,-28.12,-4.32,-12.48,2431.22,-1855.41,30301.00,51434.00,202670.00,145193.00,27068,50756,0.00,0.00,0.14,415300.00,0.00,135.52,1906.00,25819.78,78781.59,0.00,0.00,0,1,0,0,1,1,6.99,12.79,6.83,3.00,0.00,0.59,261.43,88.54,346.21,0.43,1.82,0,0,0,0,0,159620.56,41.53,2013.72,21766.10,521267.66,43741.05,0.00,15986,0,0,0,0,20250709,20150304,20260430,20250924,20250407,20221014,0,000009.SZ,股票,2026-06-16 20:26:34
工程项目,5,0,110101,0,2.23,2.01,20260616,2.72,0.93,16.40,24.14,18.33,1.27,0.09,75.10,0.00,-0.94,-4.07,0.91,-13.58,-9.48,-19.23,-27.33,-54.34,-40.51,-0.00,-33.33,-740.02,-560.65,33380.00,45349.00,186074.00,138460.00,4283,9997,0.00,0.00,-0.94,518100.00,0.00,371.13,17506.00,6041.31,17930.98,0.00,0.00,0,1,0,0,-2,18,2.19,5.25,1.84,1.00,0.00,0.41,22.30,-70.51,-1435.46,0.00,8.20,0,0,0,0,0,73225.49,51.81,2693.17,0.00,2066.53,9835.41,0.00,121,0,0,20230909,0,20260612,20220628,20260429,20260609,20260611,20260609,0,000010.SZ,股票,2026-06-16 20:26:34
物业管理,86,2,110901,0,8.37,6.85,20260616,0.81,0.77,11.90,44.40,39.22,3.05,0.14,64.67,0.00,-2.10,1.60,4.45,4.63,0.40,-5.93,-7.46,-17.32,-17.13,1.64,-11.63,-781.19,-40.00,3861.00,11282.00,20859.00,18384.00,7094,12982,0.00,0.00,-0.79,397100.00,0.00,13.16,176.00,7188.84,15408.99,0.00,0.00,0,1,0,0,-1,4,7.40,11.62,6.98,3.60,0.00,0.50,-40.76,133.85,2758.51,0.26,1.32,0,0,0,0,0,18702.63,39.71,-2815.71,103.89,152602.69,78244.22,0.00,8769,0,0,0,0,20200430,0,20260429,20251028,20250407,20251024,0,000011.SZ,股票,2026-06-16 20:26:34
玻璃产品,75,0,110113,0,4.52,3.70,20260616,2.19,0.73,0.00,137.52,88.56,0.25,0.02,73.63,0.49,9.98,2.75,-1.96,2.73,10.24,20.85,12.16,-4.64,2.04,11.60,0.44,-7682.63,10506.96,244330.00,0.00,1232263.00,19522.00,14532,32689,9395.63,0.49,-0.24,649900.00,0.00,110.60,2765.00,21004.71,63747.48,0.00,0.00,0,1,1,1,2,3,4.19,5.27,3.62,3.38,0.00,0.61,-34.85,99.50,1120.95,0.48,1.06,0,0,0,0,0,130973.96,64.99,-12094.35,11407.57,318254.75,32736.81,0.00,14054,0,20250214,0,0,20190925,20071015,20260428,20260522,20210727,20260522,0,000012.SZ,股票,2026-06-16 20:26:34
房地产销售,77,1,90904,0,11.32,9.26,20260616,1.59,0.87,52.16,24.45,24.45,2.46,0.12,41.91,0.00,-1.85,-0.19,1.58,-2.51,-7.68,-15.90,-23.49,-34.41,-24.90,-5.34,-13.23,-298.67,-359.84,4530.00,6099.00,19508.00,19177.00,10438,20679,0.00,0.00,0.19,43300.00,0.00,7.63,74.00,4861.55,12767.61,0.00,0.00,0,1,0,0,-2,7,10.23,25.62,10.00,2.38,0.00,0.55,-72.00,-16.56,-16.35,0.00,1.77,0,0,0,0,0,15971.02,4.33,-1483.78,1037.14,36196.20,1167.06,0.00,73,0,0,0,0,20090430,0,20260430,20260310,20251031,20251023,0,000014.SZ,股票,2026-06-16 20:26:34
"其他业务,彩电业务",1,1,71313,0,3.00,2.72,20260616,1.48,0.91,-28.51,69.83,46.30,1.62,0.07,81.66,0.00,1.40,0.70,1.07,-5.84,-13.94,-9.38,-10.50,-13.94,-41.65,-16.18,-38.43,-785.91,289.23,25756.00,51542.00,128411.00,136926.00,4211,9956,0.00,0.00,0.35,326600.00,0.00,122.52,4360.00,6162.00,18992.36,0.00,0.00,0,1,0,0,3,8,2.87,6.50,2.75,3.90,0.00,0.84,-9.50,-0.55,-0.54,0.00,0.00,0,0,0,0,0,107257.14,32.66,-17981.20,8682.86,393995.03,23789.67,500000.00,12053,0,0,0,0,20160302,0,20260429,20260525,20260506,20260506,20241230,000016.SZ,股票,2026-06-16 20:26:34
珠宝黄金,83,2,91301,0,5.71,4.67,20260616,2.59,1.43,-63.20,36.32,23.23,1.24,0.12,57.50,0.19,1.54,0.97,2.39,2.93,-3.66,-10.83,-17.78,-26.50,-33.03,-2.59,-25.77,294.33,104.01,5302.00,13186.00,68605.00,59584.00,14855,30371,0.00,0.00,-0.58,31000.00,0.00,16.05,311.00,4123.07,14799.99,0.00,0.00,0,1,0,0,3,5,5.13,9.23,4.90,3.75,0.00,0.75,148.47,86.97,86.52,0.00,9.31,0,0,0,0,0,23947.62,3.10,459.02,26.31,4762.21,3.35,0.00,90,0,0,0,0,20251107,20221107,20260429,20251218,20251124,20251120,0,000017.SZ,股票,2026-06-16 20:26:34
粮油贸易及加工,84,2,90108,0,7.13,5.83,20260616,1.66,0.61,34.21,73.30,26.47,0.83,0.04,24.36,-0.14,-1.85,-1.67,0.61,1.44,-3.05,-9.14,-17.29,-16.53,-8.49,-1.39,-5.07,-1394.90,7.38,9829.00,17054.00,69245.00,35311.00,7822,16300,0.00,0.00,-0.31,74300.00,0.00,53.79,815.00,7980.63,23448.97,0.00,0.00,0,1,0,0,-2,2,6.46,8.58,6.21,2.10,0.00,0.31,28.22,30.71,34.44,1.85,1.45,0,0,0,0,0,27070.64,7.43,4884.30,620.48,8857.87,26119.73,0.00,1136,0,0,0,0,20140707,20181112,20260428,20260407,20200715,20250408,0,000019.SZ,股票,2026-06-16 20:26:34
显示器,47,0,90110,0,13.15,10.76,20260616,2.30,1.32,-49.31,34.55,22.10,1.57,0.22,88.57,0.00,2.09,2.22,0.00,1.76,-3.09,-9.42,-23.56,-36.72,-12.04,-2.08,-1.45,-111.90,46.86,2040.00,4607.00,26310.00,21418.00,11205,24496,0.00,0.00,0.00,41800.00,0.00,14.43,123.00,4252.64,12760.31,0.00,0.00,0,1,0,0,2,10,11.86,25.66,11.44,1.90,0.00,0.57,165.99,95.48,97.46,0.00,7.78,0,0,0,0,0,6187.55,4.18,479.78,319.20,19772.98,0.00,0.00,496,0,0,0,0,20151229,0,20260421,20260320,20260508,20260508,0,000020.SZ,股票,2026-06-16 20:26:34
"计量智能终端,高端制造",100,4,120812,0,43.42,35.52,20260616,9.93,1.18,13.34,641.87,641.78,1.16,0.37,5671.99,0.10,3.29,6.42,-5.09,9.24,10.31,8.86,40.58,22.03,62.69,3.04,142.53,12395.55,9659.99,52287.00,150350.00,490822.00,475733.00,302544,545144,0.00,0.00,0.71,41936300.00,300.00,2657.28,7015.00,510280.55,1704017.51,0.00,0.00,0,1,0,0,2,5,38.95,46.81,16.40,4.65,0.00,1.75,66.26,54.72,51.83,0.56,4.80,0,0,0,0,0,103558.03,4193.63,14276.55,8958.73,810120.14,14563.85,0.00,29330,0,0,0,0,20211122,20210520,20260429,20260518,20260202,20260526,0,000021.SZ,股票,2026-06-16 20:26:34
"租赁及服务,珠宝销售及服务",97,0,131313,0,17.15,14.03,20260616,3.07,1.10,17.00,68.02,61.98,1.33,0.18,295.67,0.00,1.22,2.43,-0.33,10.97,4.71,1.35,-4.94,-6.96,-9.62,0.76,-13.20,-545.51,-211.37,5031.00,27567.00,52505.00,48236.00,16301,31139,0.00,0.00,0.00,862100.00,0.00,80.79,526.00,17224.09,48185.70,0.00,0.00,0,5,1,0,2,4,15.50,21.14,13.76,4.18,0.00,0.28,51.10,47.04,47.35,0.71,3.66,0,0,0,0,0,18118.67,86.21,2824.90,96.66,24215.24,1019.16,0.00,179,0,0,0,0,20180419,20150327,20260428,20260610,20250407,20250418,0,000025.SZ,股票,2026-06-16 20:26:34
名表全面服务业务,98,4,100608,0,22.73,18.59,20260616,2.45,0.90,-9.82,84.24,75.68,0.78,0.07,106.08,0.00,0.48,1.22,-2.67,-4.68,-6.78,-6.07,15.27,44.16,27.68,-12.88,76.38,-756.61,-1142.31,4067.00,9145.00,50814.00,42323.00,21851,46323,0.00,0.00,0.00,991700.00,0.00,123.48,605.00,21929.51,64388.74,0.00,0.00,0,1,0,0,2,12,20.81,27.67,11.00,3.60,0.00,0.55,32.36,96.01,78.28,0.58,2.48,0,0,0,0,0,20158.34,99.17,6226.06,1971.92,74696.97,1103.32,0.00,3156,0,0,0,0,20250205,20160115,20260425,20260522,20260526,20260526,0,000026.SZ,股票,2026-06-16 20:26:34
"生态环保,电力-燃机",100,3,100808,0,8.02,6.56,20260616,1.40,1.43,24.59,348.72,348.72,0.97,0.11,403.15,0.00,0.55,1.25,1.41,0.83,-8.60,-5.54,7.16,2.23,12.42,-9.28,14.71,753.78,-1492.16,27566.00,106158.00,279158.00,258045.00,45865,83420,0.00,0.00,-0.41,1168900.00,0.00,136.78,1905.00,30939.04,113149.59,0.00,0.00,0,1,0,0,3,1,7.22,8.48,6.24,3.50,0.00,0.79,6.98,16.49,17.33,2.19,1.04,0,0,0,0,0,118860.51,116.89,120829.72,2477.96,1087003.24,99613.68,1949981.08,12455,0,0,0,0,20160225,20130208,20260430,20251023,20210325,20251023,0,000027.SZ,股票,2026-06-16 20:26:34
药品,93,6,71407,0,25.09,20.53,20260616,0.32,0.78,-4.88,125.28,107.61,1.34,0.03,37.59,-0.21,-1.32,0.71,1.52,1.21,-3.76,-6.79,-8.27,-13.82,-8.35,-4.70,-10.35,-961.17,147.84,4298.00,10159.00,7929.00,13627.00,5347,13925,0.00,0.00,-0.66,136000.00,0.00,21.48,95.00,4968.32,13067.80,0.00,0.00,0,1,0,0,-1,0,22.59,27.43,22.01,3.50,0.00,0.15,10.90,11.18,11.59,2.70,0.66,0,0,0,0,0,16629.04,13.60,28005.25,151.33,517915.55,36148.96,0.00,28336,0,0,0,0,20200106,20170105,20260430,20240125,0,20230316,0,000028.SZ,股票,2026-06-16 20:26:34
住宅,80,1,100708,0,27.62,22.60,20260616,1.13,1.08,0.00,279.42,246.28,0.09,0.01,33.70,0.24,10.00,-0.79,-0.47,12.73,17.73,-6.02,30.10,32.22,25.66,11.78,37.62,-1450.57,5834.16,27043.00,0.00,212829.00,32339.00,16082,37605,5929.46,0.21,0.92,1472300.00,0.00,229.49,906.00,20561.70,71436.64,0.00,0.00,0,6,3,1,1,7,26.09,33.97,17.67,3.80,0.00,0.79,-1778.93,254.14,1076.03,0.14,7.73,0,0,0,0,0,27312.43,147.23,-764.09,0.00,29128.16,2476.51,0.00,210,0,0,0,0,20090326,0,20260430,20260610,20260520,20260610,0,000029.SZ,股票,2026-06-16 20:26:34
"其他产品,智能底盘产品",100,5,91301,0,4.82,3.94,20260616,0.97,0.56,65.08,75.33,73.19,1.06,0.08,98.28,0.00,0.00,0.69,1.40,-8.37,-6.21,-8.94,-13.95,-15.77,-23.69,-4.37,-23.83,-1448.17,-205.80,24176.00,41431.00,91228.00,92611.00,11391,24027,0.00,0.00,-0.23,232000.00,0.00,124.94,2859.00,6289.86,19100.62,0.00,0.00,0,1,0,0,0,1,4.37,6.28,4.25,4.55,0.00,0.66,15.10,10.72,11.34,3.42,0.88,0,0,0,0,0,46318.90,23.20,9957.39,15102.87,225634.84,4653.12,0.00,8144,0,0,0,0,20160330,20130321,20260422,20260331,20250407,20200714,0,000030.SZ,股票,2026-06-16 20:26:34
商品房销售及一级土地开发,85,2,90404,0,2.68,2.20,20260616,0.91,0.89,48.36,102.44,102.44,1.00,0.07,106.78,0.00,-2.05,-2.40,1.21,-5.15,-13.40,-16.44,-21.89,-24.36,-15.25,-8.43,-8.43,-1213.14,1191.35,57371.00,55570.00,223127.00,265245.00,14437,31310,0.00,0.00,0.00,211800.00,0.00,87.65,3492.00,10818.20,30029.51,0.00,0.00,0,1,0,0,-2,3,2.46,4.10,2.35,4.38,0.00,0.38,-11.58,-4.45,-4.52,0.00,1.00,0,0,0,0,0,110249.61,21.18,-19809.79,35.32,1921901.16,979793.82,0.00,5906,0,0,0,0,20250804,20200106,20260430,20260601,20250407,20260130,0,000031.SZ,股票,2026-06-16 20:26:34
洁净室整体解决方案,73,6,31104,0,22.89,18.73,20260616,8.88,1.81,0.00,278.15,260.48,0.06,0.02,152.88,-2.27,10.00,9.99,10.00,47.29,42.88,16.73,32.16,26.67,18.42,39.14,20.28,-27749.91,20694.16,31081.00,0.00,901908.00,133314.00,99296,174491,3525.29,0.02,3.17,42864904.00,3000.00,1599.55,8331.00,202899.71,620891.44,12186.75,341.70,0,4,4,4,6,4,19.09,28.58,14.96,3.36,0.00,1.31,-84.39,-199.01,-144.16,0.12,3.77,0,0,0,0,0,63473.80,4286.49,-10234.78,24258.49,1339237.27,311278.26,0.00,18360,0,0,0,0,20250613,20260130,20260428,20260615,20250407,20260612,0,000032.SZ,股票,2026-06-16 20:26:34
消费电子业务,75,2,40704,0,26.47,21.65,20260616,7.85,2.20,0.00,269.13,224.77,0.24,0.04,561.93,-0.66,10.02,7.75,0.81,12.88,1.61,-14.51,-1.45,-1.78,-4.58,2.44,2.80,27086.96,29644.83,35003.00,0.00,729246.00,155458.00,115539,204427,4267.49,0.02,-0.91,3049100.00,0.00,498.37,2214.00,94837.08,322422.12,0.00,0.00,0,1,1,1,3,0,23.64,35.23,22.05,5.20,0.00,1.54,28.51,46.78,45.16,0.22,2.40,0,0,0,0,0,79497.56,304.91,23311.82,9592.73,727249.10,452432.23,0.00,5548,0,20241031,0,0,20220808,20160302,20260428,20250214,20250407,20250214,0,000034.SZ,股票,2026-06-16 20:26:34
供电及垃圾处理服务,77,3,90112,0,5.50,4.50,20260616,1.76,1.17,21.46,122.03,118.20,1.26,0.07,284.63,0.00,2.20,0.00,0.00,0.39,-12.05,-17.58,-21.75,-29.71,-7.43,-13.24,19.39,1009.13,901.45,39594.00,40261.00,298802.00,169217.00,29560,56347,0.00,0.00,0.00,175000.00,0.00,46.59,930.00,15483.67,53765.82,0.00,0.00,0,1,0,0,1,6,5.02,8.60,4.18,3.90,0.00,0.82,27.55,42.05,41.25,0.72,1.13,0,0,0,0,0,146319.64,17.50,12503.60,1311.28,166667.10,4657.80,0.00,18035,0,0,20231009,0,20201023,20191023,20260429,20260324,20250407,20260310,0,000035.SZ,股票,2026-06-16 20:26:34
"房产销售,房地产出租",85,2,101008,0,5.75,4.71,20260616,1.38,0.81,18.91,72.30,72.25,1.27,0.05,73.64,0.00,-1.53,1.75,3.63,0.78,0.78,-9.17,-7.87,3.00,-21.97,-0.77,46.72,-2177.28,-845.37,12180.00,29330.00,79896.00,101572.00,22806,37942,0.00,0.00,0.00,526100.00,0.00,79.16,1537.00,13395.58,39938.53,0.00,0.00,0,1,0,0,-1,10,5.10,7.81,3.38,2.60,0.00,1.03,69.41,104.67,81.17,0.00,1.41,0,0,0,0,0,98431.03,52.61,2615.25,0.00,170379.90,20520.05,0.00,659,0,20250410,0,0,20180705,0,20260430,20260508,20260126,20260123,0,000036.SZ,股票,2026-06-16 20:26:34
"综合能源服务,电力生产销售",87,3,101212,0,12.44,10.18,20260616,14.93,1.20,66.05,70.46,39.62,2.55,1.30,1333.36,0.00,3.36,0.53,-2.51,2.64,-2.67,7.35,8.24,10.92,41.18,1.65,26.38,1763.57,773.78,29358.00,22397.00,195921.00,172659.00,52024,90468,0.00,0.00,-0.80,1608900.00,0.00,233.26,2079.00,40507.30,145948.12,0.00,0.00,0,1,0,0,2,10,11.37,13.19,8.17,4.60,0.00,0.54,146.49,42.33,36.78,0.28,4.17,0,0,0,0,0,20013.52,160.89,879.72,262.03,17112.74,508.11,0.00,305,0,0,0,0,20090527,0,20260429,20260609,20260403,20260601,0,000037.SZ,股票,2026-06-16 20:26:34
集装箱制造,80,7,40410,0,10.34,8.46,20260616,1.56,0.59,-27.40,210.93,210.81,1.18,0.04,377.03,-0.10,-2.55,4.79,-3.13,-2.55,-12.60,-21.30,-26.07,-21.17,-9.22,-16.88,18.96,-7191.05,723.63,22312.00,23530.00,127594.00,137688.00,44175,73549,0.00,0.00,-0.11,1164400.00,0.00,151.14,1670.00,54107.02,146255.23,0.00,0.00,0,1,0,0,-1,5,9.21,14.37,7.48,8.50,0.00,1.17,59.10,229.55,-444.58,1.85,1.06,0,0,0,0,0,202638.85,116.44,16744.50,58636.80,2511795.40,1721481.22,403243.32,51541,0,20250930,0,0,20090615,0,20260429,20260429,20260521,20260521,0,000039.SZ,股票,2026-06-16 20:26:34
房地产,44,1,61012,0,10.29,8.42,20260616,0.67,0.66,14.82,62.49,62.42,0.83,0.03,42.30,0.00,0.53,4.47,0.00,-0.21,-3.79,-8.92,-2.39,0.10,23.36,-4.08,36.03,-28.65,-91.24,5471.00,9915.00,24066.00,17235.00,5623,12077,0.00,0.00,0.11,66500.00,0.00,65.76,729.00,6111.87,17034.51,0.00,0.00,0,1,0,0,2,1,9.17,10.49,6.72,10.80,0.00,0.58,-23.59,-6.89,-5.61,0.00,2.76,0,0,0,0,0,30961.69,6.65,-2917.77,0.00,605302.48,1449546.65,0.00,933,0,0,0,0,20181228,20151228,20260430,20260317,20250305,20250305,0,000042.SZ,股票,2026-06-16 20:26:34
偏光片销售业务,100,2,90110,0,11.99,9.81,20260616,1.02,0.89,-6.78,56.02,50.55,0.58,0.03,26.88,-0.90,1.47,2.25,0.57,-0.00,-1.25,-9.49,-7.52,-17.03,-9.13,-1.52,0.91,-321.59,-130.04,3962.00,9932.00,24324.00,18565.00,7870,16878,0.00,0.00,0.37,391699.97,0.00,41.22,382.00,4721.86,15736.43,0.00,0.00,0,1,0,0,3,5,10.80,16.29,10.30,3.90,0.00,0.92,63.06,80.70,79.14,0.44,1.87,0,0,0,0,0,22295.24,39.17,1749.69,2286.72,56890.79,160.14,0.00,1404,0,0,0,0,20160329,20130326,20260430,20260305,20251015,20251015,0,000045.SZ,股票,2026-06-16 20:26:34
猪业产品,68,1,110110,0,19.11,15.63,20260616,5.40,0.65,0.00,101.32,101.15,0.02,0.01,13.95,-2.70,10.02,-8.14,-3.57,17.89,36.89,31.70,29.64,-10.28,8.58,52.40,23.13,-4113.61,3767.94,42638.00,0.00,325397.00,85832.00,41501,76339,6688.88,0.12,-2.71,8701800.00,100.00,2819.74,14438.00,89506.20,305489.31,0.00,0.00,0,6,4,1,1,9,18.57,24.24,12.43,4.80,0.00,0.04,-10.96,60.27,-48.39,2.14,2.70,0,0,0,0,0,24161.67,870.18,-22656.50,1064.59,79027.23,3231.10,0.00,3281,0,20251209,20230913,0,20260423,0,20260430,20260611,20260403,20260615,0,000048.SZ,股票,2026-06-16 20:26:34
智能手机类,90,2,11412,0,25.91,21.20,20260616,2.48,1.36,-53.75,94.12,94.10,1.64,0.15,328.14,0.47,3.91,2.93,2.10,4.49,-3.54,-6.64,-15.07,-7.87,-8.18,-3.36,17.36,1851.81,864.09,7071.00,9780.00,50819.00,31400.00,26042,53273,0.00,0.00,0.64,829500.00,0.00,95.13,412.00,16205.69,55972.63,0.00,0.00,0,1,0,0,3,1,23.28,31.27,20.72,4.95,0.00,0.87,29.44,30.99,28.00,0.98,1.38,0,0,0,0,0,20955.59,82.95,5541.72,24712.73,179959.36,4881.99,0.00,15450,0,0,0,0,20220913,0,20260423,20251201,20250407,20240628,0,000049.SZ,股票,2026-06-16 20:26:34
显示屏及显示模组,90,4,50110,0,8.75,7.16,20260616,2.46,1.06,-2.26,202.41,202.41,1.72,0.16,553.94,0.00,4.53,5.86,-1.96,-0.12,4.66,10.51,9.05,-5.67,-7.97,9.05,5.06,3959.13,931.78,18661.00,75668.00,238923.00,238149.00,67617,110080,0.00,0.00,0.25,1677700.00,0.00,153.93,2047.00,49219.06,143436.19,0.00,0.00,0,1,0,0,2,0,7.89,10.65,7.30,4.50,0.00,0.95,-36.35,115.69,-283.82,0.00,0.75,0,0,0,0,0,136643.97,167.77,-16728.05,78000.73,487987.30,35720.42,0.00,23538,0,20250416,0,0,20240729,20200910,20260430,20240910,20250407,20230504,0,000050.SZ,股票,2026-06-16 20:26:34
"地铁屏蔽门及服务,幕墙系统及材料",80,4,51311,0,4.20,3.44,20260616,2.89,0.66,42.20,40.16,25.28,1.07,0.08,62.16,0.00,-2.09,0.53,2.70,1.08,-10.74,0.27,2.47,-3.61,-8.78,8.09,-7.66,-1872.98,-836.83,24042.00,42450.00,113607.00,120581.00,11495,22322,0.00,0.00,-1.31,602100.00,0.00,71.71,1897.00,9374.69,27229.88,0.00,0.00,0,1,0,0,-1,2,3.75,4.73,3.34,5.18,0.00,0.71,35.60,-7.96,-7.88,0.00,0.72,0,0,0,0,0,55652.16,60.21,2492.60,2532.38,104013.63,34798.97,0.00,2949,0,20260602,0,0,20170807,20160801,20260428,20260602,20250407,20260602,0,000055.SZ,股票,2026-06-16 20:26:34
出售投资性房地产,12,0,110709,0,1.90,1.72,20260616,6.76,1.14,-29.22,20.69,15.82,1.22,0.21,164.81,1.69,-3.31,5.23,4.88,-3.85,6.71,19.86,0.57,-12.50,-12.94,9.38,-43.36,-3005.31,-1685.37,6596.00,79346.00,183372.00,235023.00,6300,11495,0.00,0.00,0.00,2593500.00,0.00,343.14,19950.00,10206.51,30369.06,80.69,0.00,0,2,1,0,-1,15,1.73,3.42,1.25,4.78,0.00,0.61,-16.01,-0.78,-0.80,0.00,0.00,0,0,0,0,0,72260.63,259.35,-4251.32,124.85,11956.27,753.05,0.00,564,0,0,0,0,20180910,20150909,20260429,20260615,20260611,20260611,0,000056.SZ,股票,2026-06-16 20:26:34
