MainBusiness,SafeValue,ShineValue,ShapeValue,TPFlag,ZTPrice,DTPrice,HqDate,fHSL,fLianB,Wtb,Zsz,Ltsz,vzangsu,Fzhsl,FzAmo,VOpenZAF,ZAF,ZAFYesterday,ZAFPre2D,ZAFPre5,ZAFPre10,ZAFPre20,ZAFPre30,ZAFPre60,ZAFYear,ZAFPreMyMonth,ZAFPreOneYear,Zjl,Zjl_HB,TotalBVol,TotalSVol,BCancel,SCancel,L2TicNum,L2OrderNum,FCAmo,FCb,OpenZAF,OpenAmo,OpenZTBuy,OpenAmoPre1,OpenVolPre1,CJJEPre1,CJJEPre3,FDEPre1,FDEPre2,ZTGPNum,LastStartZT,LastZTHzNum,EverZTCount,ConZAFDateNum,YearZTDay,MA5Value,HisHigh,HisLow,IPO_Price,More_YJL,BetaValue,DynaPE,MorePE,StaticPE_TTM,DYRatio,PB_MRQ,IsT0Fund,IsZCZGP,IsKzz,Kzz_HSCode,QHMainYYMM,FreeLtgb,Yield,KfEarnMoney,RDInputFee,CashZJ,PreReceiveZJ,OtherQYJzc,StaffNum,RecentGGJYDate,RecentHGDate,RecentIncentDate,NoticeDate_Recent,RecentReleaseDate,RecentDZDate,ReportDate,ZTDate_Recent,DTDate_Recent,TopDate_Recent,StopJYDate_Recent,code,类型,查询时间
胶囊业务,95,2,130410,0,6.36,4.24,20260616,5.49,2.16,82.54,30.81,30.61,0.55,0.09,51.74,0.37,-2.08,9.73,2.11,8.58,0.58,-3.89,-6.48,-11.73,-11.28,-1.15,-6.66,-2171.56,-900.88,17921.00,90540.00,140974.00,112827.00,19872,35895,0.00,0.00,2.26,5214000.00,100.00,87.16,1786.00,23177.75,43892.24,0.00,0.00,0,1,0,0,-1,0,4.96,6.81,4.59,9.00,0.00,0.74,39.11,57.90,57.22,0.22,1.79,0,0,0,0,0,43073.06,521.40,1729.90,526.89,45868.01,493.27,2509.85,1424,0,20250106,0,0,20240617,20210615,20260424,20240228,20200910,20240228,0,300239.SZ,股票,2026-06-16 20:26:34
"综合物流服务,国际货运代理",85,1,90913,0,6.67,4.45,20260616,2.46,1.15,-26.05,20.77,20.31,1.05,0.09,66.30,0.00,0.54,0.36,2.58,-0.71,-6.50,-16.51,-19.17,-25.79,-25.59,-5.23,-36.68,-385.75,-194.59,6739.00,15356.00,51569.00,46802.00,11273,22308,0.00,0.00,0.00,959700.00,0.00,18.07,321.00,6106.60,14948.08,0.00,0.00,0,1,0,0,3,0,5.53,9.77,5.36,20.00,0.00,0.73,-74.73,213.12,951.02,0.36,1.45,0,0,0,0,0,21323.68,95.97,-800.50,289.67,80844.79,3742.65,0.00,4451,0,0,0,0,20140707,0,20260423,20250514,20200203,20250515,0,300240.SZ,股票,2026-06-16 20:26:34
LED产品,100,2,80812,0,7.78,5.18,20260616,9.95,0.81,-33.01,47.92,40.14,0.81,0.18,282.81,0.31,3.40,4.85,-6.22,-15.62,-10.54,-5.36,-1.76,-6.55,19.86,-14.10,26.90,1163.11,-3092.98,24241.00,79902.00,234821.00,206742.00,47557,79168,0.00,0.00,-0.46,1282899.88,0.00,208.44,3362.00,35335.43,126660.38,0.00,0.00,0,1,0,0,2,1,6.62,8.60,5.24,10.80,0.00,1.13,41.21,70.28,68.63,0.45,2.06,0,0,0,0,0,56152.60,128.29,1970.39,2092.66,31115.24,709.76,0.00,3140,0,0,20260327,0,20260527,20210519,20260429,20260305,20250407,20240822,0,300241.SZ,股票,2026-06-16 20:26:34
"美妆护肤业务,互联网营销业务",71,1,51108,0,5.58,3.72,20260616,4.10,0.71,64.50,29.51,29.51,1.21,0.13,113.83,1.08,0.00,-0.85,2.63,-8.10,-9.53,-12.92,-5.30,-10.92,-7.00,-7.00,1.31,-1053.64,-785.30,20330.00,58952.00,119897.00,122682.00,20530,35542,0.00,0.00,0.22,135100.00,0.00,55.05,1159.00,11122.71,35622.09,0.00,0.00,0,1,0,0,0,1,4.66,6.85,3.92,10.00,0.00,1.17,-123.14,-82.02,-102.02,0.00,12.17,0,0,0,0,0,49932.90,13.51,-600.46,0.00,3151.08,203.46,0.00,494,0,0,0,0,20250714,20151231,20260424,20260120,20200610,20260120,0,300242.SZ,股票,2026-06-16 20:26:34
ACR助剂,95,0,120812,0,23.70,15.80,20260616,13.76,1.15,8.96,57.39,45.92,1.42,0.44,784.25,0.25,3.95,9.06,-3.31,8.11,3.07,10.91,16.98,36.87,98.55,9.44,109.28,2382.74,2179.68,12968.00,21207.00,155473.00,99942.00,51055,89405,0.00,0.00,0.25,2740300.00,0.00,118.77,642.00,65791.04,177318.49,0.00,0.00,0,1,0,0,2,1,19.23,21.71,9.66,16.00,0.00,1.61,70.91,182.03,121.93,0.45,4.64,0,0,0,0,0,20679.90,274.03,1950.50,145.33,36241.33,1868.33,6148.75,973,0,0,0,0,20250708,20240108,20260415,20260522,20200203,20260316,0,300243.SZ,股票,2026-06-16 20:26:34
渠道产品,90,2,90408,0,22.64,15.10,20260616,6.15,0.72,37.42,115.18,92.42,1.44,0.20,993.19,0.43,-2.33,-4.65,18.01,10.63,4.30,-2.85,-4.71,-7.24,16.27,4.36,24.03,-9204.69,-1287.71,14422.00,40430.00,146887.00,105832.00,57595,97504,0.00,0.00,-0.21,5424900.00,0.00,2373.88,12180.00,134937.84,367824.03,0.00,0.00,0,1,0,0,-2,2,18.10,33.30,13.52,23.50,0.00,0.99,44.73,267.71,91.12,1.81,1.76,0,0,0,0,0,44971.29,542.49,6197.95,5073.11,162127.33,13324.11,0.00,7462,0,20240207,0,0,20200116,20190116,20260428,20260112,20191025,20260112,0,300244.SZ,股票,2026-06-16 20:26:34
IT支持与维护,15,1,130913,0,7.14,4.76,20260616,4.27,1.24,-37.74,18.85,18.81,2.15,0.22,178.11,0.00,3.87,3.30,2.49,-0.49,-11.47,-15.34,-24.82,-50.04,-48.89,-6.50,-66.52,-100.25,-10.83,7200.00,13830.00,100622.00,58730.00,6297,14260,0.00,0.00,0.34,185100.00,0.00,70.08,1202.00,5658.94,18493.21,0.00,0.00,0,1,0,0,3,1,5.87,20.50,5.55,20.00,0.00,0.91,-26.48,-58.71,-42.13,0.00,1.56,0,0,0,0,0,26380.86,18.51,-2283.89,930.63,22975.51,2520.47,0.00,878,0,20260429,20240625,0,20181128,20171127,20260428,20260325,20260429,20260515,0,300245.SZ,股票,2026-06-16 20:26:34
血透产品,65,2,101008,0,20.24,13.50,20260616,8.32,2.06,20.54,47.36,37.83,1.90,0.36,175.78,-0.23,6.11,6.37,0.19,9.88,1.59,-13.11,1.13,18.07,120.99,4.86,139.30,1975.48,1290.29,8042.00,13952.00,93139.00,63561.00,22928,42999,0.00,0.00,-0.41,396500.00,0.00,0.00,0.00,21916.64,64399.12,0.00,0.00,0,1,0,0,3,3,16.58,21.98,7.19,25.00,0.00,1.13,-161.79,-64.30,-48.95,0.29,4.40,0,0,0,0,0,18715.34,39.65,-1462.75,1528.36,45708.11,5476.84,5405.04,1242,0,20240207,0,0,20220818,20220218,20260425,20260311,20200714,20260311,0,300246.SZ,股票,2026-06-16 20:26:34
远红外理疗桑拿房,90,0,71310,0,4.96,3.30,20260616,1.68,0.99,-57.20,33.29,33.25,1.08,0.04,22.44,0.00,0.24,0.49,1.23,0.73,-0.96,-14.64,-3.27,-13.39,-19.30,-2.12,7.53,-382.50,-465.13,12537.00,49434.00,78877.00,64556.00,6590,13134,0.00,0.00,0.00,18600.00,0.00,7.95,193.00,5246.74,15259.08,0.00,0.00,0,1,0,0,3,0,4.13,5.98,3.65,16.00,0.00,0.45,35.06,44.39,49.16,0.00,2.88,0,0,0,0,0,68610.80,1.86,2173.42,299.81,34237.69,2681.10,0.00,569,0,0,0,0,20191206,20161205,20260428,20211229,20250407,20241029,0,300247.SZ,股票,2026-06-16 20:26:34
智慧校园应用解决方案,87,1,90901,0,10.14,6.76,20260616,1.89,0.68,-16.47,40.73,34.97,2.51,0.10,158.00,0.00,1.18,1.32,0.60,-3.39,-2.29,-17.63,-11.12,-28.45,-31.10,-2.51,-39.66,-555.32,-226.12,6667.00,18348.00,39701.00,41519.00,13864,26174,0.00,0.00,0.12,148900.00,0.00,18.67,221.00,8270.42,23493.42,0.00,0.00,0,1,0,0,3,0,8.45,16.87,8.18,30.00,0.00,0.82,-19.09,51.52,68.03,0.95,1.89,0,0,0,0,0,39063.78,14.89,-5418.21,4099.14,15030.30,3486.87,0.00,2227,0,0,0,0,20181009,20161213,20260424,20250313,20230425,20250314,0,300248.SZ,股票,2026-06-16 20:26:34
